Id,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,No_Data,Wear_Range,Wear_Speed,Wear_CriticalRate,Wear_Drop_LV,Wear_Drop_Option_Number,Wear_Drop_Socket_1EA_Rate,Wear_Drop_Socket_2EA_Rate,Wear_Drop_Socket_3EA_Rate,Wear_Drop_Socket_4EA_Rate,Wear_Small_Monster_Attack_Addition,Wear_Middle_Monster_Attack_Addition,Wear_Large_Monster_Attack_Addition,Wear_Boss_Monster_Attack_Addition,Wear_Undead_Monster_Attack_Addition,Option_Index_1,Option_Value_1,Option_Index_2,Option_Value_2,Option_Index_3,Option_Value_3,Option_Index_4,Option_Value_4,Option_Index_5,Option_Value_5,Option_Index_6,Option_Value_6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level_0_Item_LV,Level_0_Melee_Min_Attack,Level_0_Melee_Max_Attack,Level_0_Magic_Min_Attack,Level_0_Magic_Max_Attack,Level_0_Defance_Max,Level_0_Defance_Max,Level_0_Blocking_Rate,Level_0_Critical_Bonus,Level_0_Str_Request,Level_0_Dex_Request,Level_0_Spr_Request,Level_0_Appraisal_Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape
1,Valor Pants,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,0,0,0,0,0,6,6,0,0,0,0,0,0,0,10001,0,0,1,0,0
10001,Valor Pants +1,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,1,0,0,0,0,8,8,0,0,0,0,0,0,1,10002,0,0,1,0,0
10002,Valor Pants +2,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,2,0,0,0,0,11,11,0,0,0,0,0,0,10001,10003,0,0,1,0,0
10003,Valor Pants +3,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,3,0,0,0,0,15,15,0,0,0,0,0,0,10002,10004,0,0,1,0,0
10004,Valor Pants +4,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,4,0,0,0,0,20,20,0,0,0,0,0,0,10003,10005,0,0,1,0,0
10005,Valor Pants +5,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,5,0,0,0,0,26,26,0,0,0,0,0,0,10004,0,0,0,1,0,0
10006,Valor Pants +6,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,6,0,0,0,0,33,33,0,0,0,0,0,0,10005,0,0,0,1,0,0
2,Guardian Pants,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,0,0,0,0,0,18,18,0,0,0,0,0,0,0,10011,0,0,1,0,0
10011,Guardian Pants +1,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,1,0,0,0,0,20,20,0,0,0,0,0,0,2,10012,0,0,1,0,0
10012,Guardian Pants +2,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,2,0,0,0,0,23,23,0,0,0,0,0,0,10011,10013,0,0,1,0,0
