Index,500,501,502,503,504,506,507,508,509,512,513,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,454,545,546,547
Description,Treasure of Crespo,Magic Field of Crevice,Treasure of Crespo for Wings,Nest of Cherubim,Wings of The Chosen Ones,[Argate Exchange] Coppers to Silver,[Argate Exchange] Silver to Copper,[Argate Exchange] Silver to Gold,[Argate Exchange] Gold to Silver,"Stones, Argates & Obsideons",Fafnir Level 4 Wings,165LV skills I,165LV skills II,165LV skills III,Treasure of Crespo for Wings.part2,Wings of The Chosen Ones.part2,Fafnir Level 4 Wings.part2,Ghost to Normal,Ghost to Normal 2,D-Shop Items,Azure Knight,Segita Hunter,Incar Magician & Black Wizard,Vicious & Concera Summoner,Segnale & Seguriper,Bagi Warior & Half Bagi,Ghost Fafnir Wings,Ghost Fafnir Wings part2,Golden egg rewards,Funny weapons,Special Gems,Special Rings Upgrade,Ticket Exchange,Wings,Wings +2,Wings +3,Tokens 3 Ranks,Candies,Almighty Wings Gold I,Almighty Wings Gold II,Frog and Strawberry Wings,Fafnir Wings I,Fafnir Wings II,Flower Exchange
TotalCount,8,7,10,6,10,4,4,4,4,9,10,8,6,8,1,1,1,10,1,2,6,3,6,6,6,6,10,1,8,9,10,5,6,8,8,8,3,8,7,4,2,10,1,2
PriceItemIndex,6103,6104,6103,6148,6148,9901,9903,9903,9902,3917,6016,3917,3917,3917,6103,6148,6016,6016,6016,6016,65291,65291,65291,65291,65291,65291,6016,6016,65292,6016,3917,3917,3916,3917,3917,3917,3917,3917,3917,3917,3917,3917,3917,6016
ItemDescription,Rare Laker Steak (15),Greasy Smoked Carmin (15),Almighty Wings of the Azure,Fried Crunchy Mantis (15),Wings of The Chosen One (Azure Knight),2 Coppers = 1 Silver,1 Silver = 2 Coppers,2 Silvers = 1 Gold,1 Gold = 2 Silvers,Critical Bijou,Fafnir Level 4 Wings (Azure Knight),[Azure]Pentrate,[Segnale]Cruelty Whip,[Segeuriper]Envoy Thyself,Almighty Wings of the Half Bagi,Wings of the Chosen One HalF Bagi,Fafnir Level 4 Wings (Half Bagi),Fafnir Wings (Azure Knight),Fafnir Wings (Half Bagi),Max Critical 5%,Wings of Strength (Azure Knigth),Wings of Strength,Wings of Strength (Incar Magician),Wings of Strength (Vicious Summoner),Wings of Strength (Segnale),Wings of Strength (Bagi Warrior),Ghost Fafnir Wings (Azure Knight),Ghost Fafnir Wings (Half Bagi),Copper Argate,Electric Fly-Swatter,Attack Bead 10%,Defender Tier 1,Ticket Exchange [5],Wings of Anim Red,Wings of Anim Red +2,Wings of Anim Red +3,Token Tier 1,Blue Heart (L),Almighty Azure Gold,Almighty Segeuriper Gold,Frog Wings,Fafnir Wings (Azure Knight),Fafnir Wings (Half Bagi),Tickets [500]
GiveItemIndex,56531,56533,50005,56560,54305,9903,9901,9902,9903,6514,54329,4366,4374,54830,52802,52803,52804,54329,52804,6550,65258,65259,65260,65261,65262,65263,52005,52005,9901,19480,6590,3550,3917,4554,4560,4566,3571,3842,3580,3587,5512,54329,52804,3917
GiveItemCount,15,15,1,15,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,75,1,1,1,1,1,500
TakeItemIndex,0,0,0,0,50005,0,0,0,0,0,54305,0,0,0,0,52802,52803,52005,52005,0,54329,54330,54331,54332,54333,54334,54329,52804,0,0,0,0,0,0,4554,4560,0,0,0,0,0,0,0,0
PriceCount,15,15,100,30,100,2,1,2,1,500,2000,100,100,100,100,1000,2000,1,1,1000,3,3,3,3,3,3,1,1,1,100,250,250,1,100,200,1550,50,200,1850,1850,1850,1850,1850,250
ItemDescription,Rare Laker Steak (30),Greasy Smoked Carmin (30),Almighty Wings of the Hunter,Fried Crunchy Mantis (30),Wings of The Chosen One (Segita Hunter),10 Coppers = 5 Silvers,5 Silvers = 10 Coppers,10 Silvers = 5 Gold,5 Golds = 10 Silvers,Guard Bijou,Fafnir Level 4 Wings (Segita Hunter),[Azure]Storm Wave,[Segnale]Fragrant Rain,[Segeuriper]Envoy Prison,0,0,0,Fafnir Wings (Segita Hunter),0,0,Wings of Spirit (Azure Knigth),Wings of Spirit,Wings of Spirit (Incar Magician),Wings of Spirit (Vicious Summoner),Wings of Spirit (Segnale),Wings of Spirit (Bagi Warrior),Ghost Fafnir Wings (Segita Hunter),0,Magic Stone Piece,Squearky Hammer,Attack Cube 10%,Defender Tier 2,Ticket Exchange [25],Wings of Anim Ice,Wings of Anim Ice +2,Wings of Anim Ice +3,Token Tier 2,Red Heart (L),Almighty Hunter Gold,Almighty Concerra Gold,Strawberry Wings,Fafnir Wings (Segita Hunter),0,Tickets [1000]
GiveItemIndex,56531,56533,50805,56560,54306,9903,9901,9902,9903,6524,54330,4367,4375,54849,0,0,0,54330,0,0,65236,65237,65238,65239,65240,65241,52005,0,6104,19481,6591,3551,3917,4555,4561,4567,3572,3844,3581,3588,5513,54330,0,3917
GiveItemCount,30,30,1,30,1,5,10,5,10,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,25,1,1,1,1,75,1,1,1,1,0,1000
TakeItemIndex,0,0,0,0,50805,0,0,0,0,0,54306,0,0,0,0,0,0,52005,0,0,54329,54330,54331,54332,54333,54334,54330,0,0,0,0,3550,0,0,4555,4561,3571,0,0,0,0,0,0,0
PriceCount,25,25,100,55,1000,10,5,10,5,500,2000,100,100,100,0,0,0,1,0,0,3,3,3,3,3,3,1,0,3,100,250,750,5,100,200,1550,100,200,1850,1850,1850,1850,0,500
ItemDescription,Clear Mullet Stew (15),Crisp and Pure Water of Avalon (15),Almighty Wings of the Magician,Clear Parca Holy Water (15),Wings of The Chosen One (Incar Megician),20 Coppers = 10 Silvers,10 Silvers = 20 Coppers,20 Silvers = 10 Gold,10 Golds = 20 Silvers,Blocking Bijou,Fafnir Level 4 Wings (Incar Magician),[Hunter]Fire Bullet,[Bagi]Splinter,[Concerra]Canine,0,0,0,Fafnir Wings (Incar Magician),0,0,Wings of Protection (Azure Knigth),Wings of Protection,Wings of Protection (Incar Magician),Wings of Protection (Vicious Summoner),Wings of Protection (Segnale),Wings of Protection (Bagi Warrior),Ghost Fafnir Wings (Incar Magician),0,Naruke,Theme Park Lolli-Pop,Attack Sphere 10%,Salvation Defender Tier 3,Ticket Exchange [125],Wings of Favnil's Blood,Wings of Favnil's Blood +2,Wings of Favnil's Blood +3,Salvation Token Tier 3,Bouque of Love,Almighty Magician Gold,Almighty Half Bagi Gold,0,Fafnir Wings (Incar Magician),0,0
GiveItemIndex,56532,56534,51605,56561,54307,9903,9901,9902,9903,6534,54331,4368,4376,54832,0,0,0,54331,0,0,65247,65248,65249,65250,65251,65252,52005,0,6148,19482,6592,3552,3917,4556,4562,4568,3573,3846,3582,3589,0,54331,0,0
GiveItemCount,15,15,1,15,1,10,20,10,20,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,125,1,1,1,1,75,1,1,0,1,0,0
TakeItemIndex,0,0,0,0,51605,0,0,0,0,0,54307,0,0,0,0,0,0,52005,0,0,54329,54330,54331,54332,54333,54334,54331,0,0,0,0,3551,0,0,4556,4562,3572,0,0,0,0,0,0,0
PriceCount,15,10,100,30,1000,20,10,20,10,500,2000,100,100,100,0,0,0,1,0,0,3,3,3,3,3,3,1,0,3,100,250,2500,25,100,200,1550,2000,200,1850,1850,0,1850,0,0
ItemDescription,Clear Mullet Stew (30),Crisp and Pure Water of Avalon (30),Almighty Wings of the Summoner,Clear Parca Holy Water (30),Wings of The Chosen One (Vicious Summoner),40 Coppers = 20 Silvers,20 Silvers = 40 Coppers,40 Silvers = 20 Gold,20 Golds = 40 Silvers,Copper Argates,Fafnir Level 4 Wings (Vicious Summoner),[Hunter]Crazy Arrow,[Bagi]Agulys Shoulder,[Concerra]Regression Hell,0,0,0,Fafnir Wings (Vicious Summoner),0,0,Wings of Strength (Aloken),0,Wings of Strength (Black Wizard),Wings of Strength (Concera Summoner),Wings of Strength  (Seguriper),Wings of Strength (Half Bagi),Ghost Fafnir Wings (Vicious Summoner),0,Obsidian,Gramen's Club,Attack Skull 10%,Ring Of Salvation Tier 1,Ticket Exchange [250],Wings of Angel's Bless,Wings of Angel's Bless +2,Wings of Angel's Bless +3,0,Rainbow Rice Cake,Almighty Summoner Gold,Almighty Dark Wizard Gold,0,Fafnir Wings (Vicious Summoner),0,0
GiveItemIndex,56532,56534,52405,56561,54308,9903,9901,9902,9903,9901,54332,4369,4377,54833,0,0,0,54332,0,0,65264,0,65267,65265,65266,65268,52005,0,6103,19483,6593,3553,3917,4557,4563,4569,0,3865,3583,3590,0,54332,0,0
GiveItemCount,30,30,1,30,1,20,40,20,40,100,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,10,1,1,1,250,1,1,1,0,75,1,1,0,1,0,0
TakeItemIndex,0,0,0,0,52405,0,0,0,0,0,54308,0,0,0,0,0,0,52005,0,0,54335,0,52004,54336,54337,52804,54332,0,0,0,0,0,0,0,4557,4563,0,0,0,0,0,0,0,0
PriceCount,25,15,100,55,1000,40,20,40,20,500,2000,100,100,100,0,0,0,1,0,0,3,0,3,3,3,3,1,0,100,100,250,500,50,100,200,1550,0,200,1850,1850,0,1850,0,0
ItemDescription,Argama Pet,Blade of the Ancient,Almighty Wings of the Segnale,Noble Soul,Wings of The Chosen One (Segnale),0,0,0,0,Silver Argates,Fafnir Level 4 Wings (Segnale),[Incar]Ghost of Time,[Aloken]Shock Spear,[Dark Wizzard]Dark Soul,0,0,0,Fafnir Wings (Segnale),0,0,Wings of Spirit (Aloken),0,Wings of Spirit (Black Wizard),Wings of Spirit (Concera Summoner),Wings of Spirit  (Seguriper),Wings of Spirit (Half Bagi),Ghost Fafnir Wings (Segnale),0,Portal Scroll 10,Halloween Lollipop,Attack Crystal 10%,Ring Of Salvation Tier 2,Ticket Exchange [500],Icy Wings,icy Wings +2,icy Wings +3,0,Blue Lillipop,Almighty Warrior Gold,0,0,Fafnir Wings (Segnale),0,0
GiveItemIndex,56501,6097,53205,64086,54309,0,0,0,0,9903,54333,4370,4378,54872,0,0,0,54333,0,0,65242,0,65245,65243,65244,65246,52005,0,65293,19484,6594,5505,3917,4574,4575,4576,0,3850,3584,0,0,54333,0,0
GiveItemCount,1,1,1,1,1,0,0,0,0,100,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,10,1,1,1,500,1,1,1,0,75,1,0,0,1,0,0
TakeItemIndex,0,0,0,0,53205,0,0,0,0,0,54309,0,0,0,0,0,0,52005,0,0,54335,0,52004,54336,54337,52804,54333,0,0,0,0,3553,0,0,4574,4575,0,0,0,0,0,0,0,0
PriceCount,20,35,100,900,1000,0,0,0,0,650,2000,100,100,100,0,0,0,1,0,0,3,0,3,3,3,3,1,0,15,100,250,1000,100,100,200,1550,0,200,1850,0,0,1850,0,0
ItemDescription,Duron Fishing Rod,Tuban's Head,Almighty Wings of the Warrior,Daes Arie,Wings of The Chosen One (Bagi Warrior),0,0,0,0,Gold Argates,Fafnir Level 4 Wings (Bagi Warrior),[Incar]Shudder Space,[Aloken]Punish,[Dark Wizzard]Dark Month,0,0,0,Fafnir Wings (Bagi Warrior),0,0,Wings of Protection (Aloken),0,Wings of Protection (Black Wizard),Wings of Protection (Concera Summoner),Wings of Protection  (Seguriper),Wings of Protection (Half Bagi),Ghost Fafnir Wings (Bagi Warrior),0,Master's Mistake,Doughnut Fork,All Magic Resistance 3%,0,Ticket Exchange [1000],Mix Wings,Mix Wings +2,Mix Wings +3,0,Red Lillipop,Almighty Segnale Gold,0,0,Fafnir Wings (Bagi Warrior),0,0
GiveItemIndex,56537,56502,54005,64617,54310,0,0,0,0,9902,54334,4371,4379,54873,0,0,0,54334,0,0,65253,0,65256,65254,65255,65257,52005,0,65295,19485,6564,0,3917,5506,5507,5508,0,3849,3585,0,0,54334,0,0
