9/9/2008 10:45,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,No Data,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape,Column1
957,Abrasax Armor,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2550,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,0,0,0,0,0,123,123,0,0,0,0,0,0,0,19581,0,0,1,0,0,
19581,Abrasax Armor +1,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2551,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,1,0,0,0,0,125,125,0,0,0,0,0,0,957,19582,0,0,1,0,0,
19582,Abrasax Armor +2,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2552,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,2,0,0,0,0,128,128,0,0,0,0,0,0,19581,19583,0,0,1,0,0,
19583,Abrasax Armor +3,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2553,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,3,0,0,0,0,132,132,0,0,0,0,0,0,19582,19584,0,0,1,0,0,
19584,Abrasax Armor +4,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2554,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,4,0,0,0,0,138,138,0,0,0,0,0,0,19583,19585,0,0,1,0,0,
19585,Abrasax Armor +5,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2555,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,5,0,0,0,0,146,146,0,0,0,0,0,0,19584,19586,0,0,1,0,0,
19586,Abrasax Armor +6,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2556,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,6,0,0,0,0,160,160,0,0,0,0,0,0,19585,19587,0,0,1,0,0,
19587,Abrasax Armor +7,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2557,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,7,0,0,0,0,175,175,0,0,0,0,0,0,19586,19588,0,0,1,0,0,
19588,Abrasax Armor +8,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2558,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,8,0,0,0,0,192,192,0,0,0,0,0,0,19587,19589,0,0,1,0,0,
19589,Abrasax Armor +9,0,5,1,0,1281,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,79,50048,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2559,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,2035,2033,2035,2035,2037,9,0,0,0,0,214,214,0,0,0,0,0,0,19588,0,0,0,1,0,0,
907,Abrasax Boots,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2420,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,0,0,0,0,0,49,49,0,0,0,0,0,0,0,19111,0,0,1,0,0,
19111,Abrasax Boots +1,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2421,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,1,0,0,0,0,51,51,0,0,0,0,0,0,907,19112,0,0,1,0,0,
19112,Abrasax Boots +2,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2422,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,2,0,0,0,0,54,54,0,0,0,0,0,0,19111,19113,0,0,1,0,0,
