Index,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value1,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,5229,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape
36141,[CON] Belif Of The Hellion,0,3,2,0,775,40,0000-0000-0010-0000-0000-0000-0000-0000,1500,1483,0,160,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36139,[CON] Blessing Of The Hellion,0,3,2,0,775,40,0000-0000-0010-0000-0000-0000-0000-0000,1500,1481,0,160,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36140,[CON] Will Of The Hellion,0,3,2,0,775,40,0000-0000-0010-0000-0000-0000-0000-0000,1500,1482,0,160,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5017,[E] Agareth,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,606,0,108,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4999,[E] Aldebaran,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,643,0,36,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5009,[E] Anadema,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,645,0,83,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4983,[E] Beast Mastery,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,601,0,15,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5003,[E] Blade Dance,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,729,0,41,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4997,[E] Blade Spin,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,726,0,7,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4993,[E] Blood Bats,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,724,0,21,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5019,[E] Boomerang,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,621,0,83,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5008,[E] Bragon,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,605,0,83,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56576,[E] Cooked Sea Bass,5,0,12,0,12,52,1111-1111-1111-1111-1111-1111-1111-1111,3000,216,1,0,1,1,1,50,1,10,10,0,0,0,0,0,0,0,0,6483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5014,[E] Cross Hack,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,736,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5016,[E] Dark Avatar,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,738,0,97,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4992,[E] Decalm Position,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,742,0,20,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4996,[E] Devil Swing,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,725,0,32,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4986,[E] Electrified State,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,621,0,57,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4989,[E] Evolt Shot,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,722,0,7,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5010,[E] Fishing Mastery,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,781,0,7,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5022,[E] Force Wave,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,662,0,108,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4987,[E] Frozen State,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,622,0,47,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56579,[E] Greasy Smoked Karmin,5,0,12,0,12,52,1111-1111-1111-1111-1111-1111-1111-1111,3000,214,1,0,1,1,1,50,1,10,10,0,0,0,0,0,0,0,0,6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4985,[E] Grewpaine,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,603,0,15,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5013,[E] Hell Burst,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,735,0,87,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5023,[E] Increase Poison,0,3,2,0,775,40,0001-0000-0000-0000-0000-0000-0000-0000,1500,739,0,41,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
